
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    0.0.0.0:135            0.0.0.0:0              LISTENING       1544
  TCP    0.0.0.0:445            0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:3306           0.0.0.0:0              LISTENING       6388
  TCP    0.0.0.0:5000           0.0.0.0:0              LISTENING       7136
  TCP    0.0.0.0:5040           0.0.0.0:0              LISTENING       10196
  TCP    0.0.0.0:7070           0.0.0.0:0              LISTENING       5276
  TCP    0.0.0.0:28252          0.0.0.0:0              LISTENING       19264
  TCP    0.0.0.0:33060          0.0.0.0:0              LISTENING       6388
  TCP    0.0.0.0:49575          0.0.0.0:0              LISTENING       19760
  TCP    0.0.0.0:49664          0.0.0.0:0              LISTENING       1228
  TCP    0.0.0.0:49665          0.0.0.0:0              LISTENING       1048
  TCP    0.0.0.0:49666          0.0.0.0:0              LISTENING       1584
  TCP    0.0.0.0:49667          0.0.0.0:0              LISTENING       3108
  TCP    0.0.0.0:49668          0.0.0.0:0              LISTENING       4188
  TCP    0.0.0.0:49674          0.0.0.0:0              LISTENING       1200
  TCP    10.18.145.28:139       0.0.0.0:0              LISTENING       4
  TCP    10.18.145.28:52929     34.96.98.129:443       ESTABLISHED     15148
  TCP    10.18.145.28:60858     148.113.16.94:443      ESTABLISHED     5276
  TCP    10.18.145.28:64160     34.96.98.129:443       ESTABLISHED     15148
  TCP    127.0.0.1:7768         0.0.0.0:0              LISTENING       27552
  TCP    127.0.0.1:27015        0.0.0.0:0              LISTENING       15148
  TCP    127.0.0.1:27017        0.0.0.0:0              LISTENING       5736
  TCP    127.0.0.1:28385        0.0.0.0:0              LISTENING       4
  TCP    127.0.0.1:28390        0.0.0.0:0              LISTENING       4
  TCP    127.0.0.1:44950        0.0.0.0:0              LISTENING       25232
  TCP    127.0.0.1:44960        0.0.0.0:0              LISTENING       25232
  TCP    127.0.0.1:49350        0.0.0.0:0              LISTENING       2396
  TCP    127.0.0.1:49350        127.0.0.1:55252        CLOSE_WAIT      2396
  TCP    127.0.0.1:49350        127.0.0.1:55253        CLOSE_WAIT      2396
  TCP    127.0.0.1:49350        127.0.0.1:55254        CLOSE_WAIT      2396
  TCP    127.0.0.1:49350        127.0.0.1:55255        CLOSE_WAIT      2396
  TCP    127.0.0.1:49350        127.0.0.1:55256        CLOSE_WAIT      2396
  TCP    127.0.0.1:49350        127.0.0.1:55257        CLOSE_WAIT      2396
  TCP    127.0.0.1:49350        127.0.0.1:55258        CLOSE_WAIT      2396
  TCP    127.0.0.1:49351        0.0.0.0:0              LISTENING       1608
  TCP    127.0.0.1:49670        127.0.0.1:49671        ESTABLISHED     6388
  TCP    127.0.0.1:49671        127.0.0.1:49670        ESTABLISHED     6388
  TCP    127.0.0.1:49672        127.0.0.1:49673        ESTABLISHED     6388
  TCP    127.0.0.1:49673        127.0.0.1:49672        ESTABLISHED     6388
  TCP    127.0.0.1:50087        127.0.0.1:64639        ESTABLISHED     26656
  TCP    127.0.0.1:51166        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:51167        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:51168        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:51169        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:51170        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:51171        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:51172        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:51173        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:51787        127.0.0.1:64639        ESTABLISHED     26656
  TCP    127.0.0.1:53028        127.0.0.1:64970        ESTABLISHED     4168
  TCP    127.0.0.1:53678        0.0.0.0:0              LISTENING       30640
  TCP    127.0.0.1:54327        127.0.0.1:64639        ESTABLISHED     26656
  TCP    127.0.0.1:54488        127.0.0.1:64639        ESTABLISHED     26656
  TCP    127.0.0.1:55186        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:55187        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:55188        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:55189        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:55190        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:55191        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:55192        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:55193        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:55194        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:55195        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:55196        127.0.0.1:64639        ESTABLISHED     26656
  TCP    127.0.0.1:55197        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:55198        127.0.0.1:49350        TIME_WAIT       0
