
Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0      3,928 K
Secure System                  140 Services                   0     54,768 K
Registry                       184 Services                   0     22,020 K
smss.exe                       640 Services                   0        340 K
csrss.exe                      400 Services                   0      2,300 K
wininit.exe                   1048 Services                   0      1,160 K
services.exe                  1200 Services                   0      9,136 K
LsaIso.exe                    1220 Services                   0        692 K
lsass.exe                     1228 Services                   0     14,920 K
svchost.exe                   1368 Services                   0     25,536 K
fontdrvhost.exe               1400 Services                   0        680 K
WUDFHost.exe                  1456 Services                   0      4,368 K
svchost.exe                   1544 Services                   0     14,432 K
svchost.exe                   1588 Services                   0      4,448 K
svchost.exe                   1800 Services                   0      1,096 K
svchost.exe                   1836 Services                   0      2,548 K
svchost.exe                   1856 Services                   0      5,224 K
svchost.exe                   1872 Services                   0      3,188 K
svchost.exe                   2000 Services                   0      3,692 K
svchost.exe                   2012 Services                   0      3,984 K
svchost.exe                   1584 Services                   0      9,588 K
svchost.exe                   1684 Services                   0      1,800 K
svchost.exe                   1976 Services                   0      4,408 K
svchost.exe                   2052 Services                   0      5,688 K
IntelCpHDCPSvc.exe            2068 Services                   0      1,664 K
svchost.exe                   2100 Services                   0      3,552 K
svchost.exe                   2216 Services                   0      4,968 K
svchost.exe                   2288 Services                   0     12,024 K
svchost.exe                   2448 Services                   0      7,056 K
IntelCpHeciSvc.exe            2456 Services                   0      1,644 K
svchost.exe                   2524 Services                   0      6,004 K
svchost.exe                   2632 Services                   0      1,452 K
igfxCUIService.exe            2736 Services                   0      1,244 K
svchost.exe                   2876 Services                   0      2,252 K
svchost.exe                   2976 Services                   0      2,012 K
svchost.exe                   3000 Services                   0      5,808 K
SynTPEnhService.exe           3040 Services                   0      2,036 K
svchost.exe                   3108 Services                   0     12,564 K
svchost.exe                   3156 Services                   0      1,792 K
svchost.exe                   3184 Services                   0      4,556 K
svchost.exe                   3192 Services                   0      1,512 K
svchost.exe                   3288 Services                   0      2,780 K
Memory Compression            3316 Services                   0   4,82,176 K
svchost.exe                   3324 Services                   0      2,216 K
AppHelperCap.exe              3336 Services                   0     13,352 K
NetworkCap.exe                3344 Services                   0      2,884 K
DiagsCap.exe                  3352 Services                   0      3,056 K
SysInfoCap.exe                3376 Services                   0     12,756 K
TouchpointAnalyticsClient     3484 Services                   0     25,728 K
svchost.exe                   3616 Services                   0      6,940 K
svchost.exe                   3704 Services                   0     10,240 K
svchost.exe                   3848 Services                   0     19,612 K
svchost.exe                   3936 Services                   0      1,844 K
svchost.exe                   4032 Services                   0     18,848 K
svchost.exe                   4160 Services                   0      3,800 K
NgcIso.exe                    4240 Services                   0      1,072 K
svchost.exe                   4324 Services                   0      2,380 K
unsecapp.exe                  4504 Services                   0      3,536 K
WmiPrvSE.exe                  4660 Services                   0      9,328 K
svchost.exe                   4684 Services                   0      4,592 K
svchost.exe                   4692 Services                   0      2,648 K
svchost.exe                   4804 Services                   0      4,272 K
svchost.exe                   4876 Services                   0      4,060 K
svchost.exe                   5012 Services                   0      7,772 K
svchost.exe                   5020 Services                   0      1,288 K
svchost.exe                   5068 Services                   0      3,616 K
svchost.exe                   4128 Services                   0     14,328 K
spoolsv.exe                   4188 Services                   0      5,436 K
svchost.exe                   5152 Services                   0      3,792 K
svchost.exe                   5192 Services                   0      2,932 K
armsvc.exe                    5260 Services                   0      1,852 K
svchost.exe                   5268 Services                   0     28,640 K
AnyDesk.exe                   5276 Services                   0     30,560 K
svchost.exe                   5288 Services                   0     30,764 K
DSAUpdateService.exe          5300 Services                   0      6,800 K
OfficeClickToRun.exe          5316 Services                   0     25,740 K
DSAService.exe                5328 Services                   0     46,788 K
OneApp.IGCC.WinService.ex     5344 Services                   0     11,208 K
svchost.exe                   5392 Services                   0      2,800 K
svchost.exe                   5400 Services                   0      2,164 K
MpDefenderCoreService.exe     5460 Services                   0     15,444 K
LMS.exe                       5476 Services                   0      2,660 K
mysqld.exe                    5536 Services                   0      2,748 K
pg_ctl.exe                    5640 Services                   0        996 K
